Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Jawa Tengah,Kota Salatiga,"42,629.82","8,847.27",20.75,"33,046.01",77.52,"41,893.28",98.27,"8,016.74","3,544.15",27.12,P 1
2024,Jawa Tengah,Kota Semarang,"434,243.97","120,152.30",27.67,"309,809.86",71.34,"429,962.16",99.01,"117,631.87",317.55,27.16,P 1
2024,Daerah Istimewa Yogyakarta,Kab. Kulon Progo,"80,033.90","24,868.05",31.07,"11,340.55",14.17,"36,208.60",45.24,"23,956.85",,29.93,P 1
2024,Daerah Istimewa Yogyakarta,Kab. Bantul,"158,430.04","29,158.61",18.4,"20,657.50",13.04,"49,816.11",31.44,"29,158.61",824.86,18.93,P 1
2024,Daerah Istimewa Yogyakarta,Kab. Gunungkidul,"134,318.32","32,614.76",24.28,"21,068.16",15.69,"53,682.92",39.97,"31,596.16",153.67,23.64,P 1
2024,Daerah Istimewa Yogyakarta,Kab. Sleman,"219,653.64","30,482.72",13.88,"22,331.43",10.17,"52,814.15",24.04,"27,537.17","3,760.23",14.25,P 1
2024,Daerah Istimewa Yogyakarta,Kota Yogyakarta,"109,704.11","24,088.86",21.96,"66,283.55",60.42,"90,372.40",82.38,"24,088.86","30,802.02",50.04,P 1
2024,Jawa Timur,Kab. Pacitan,"105,691.50","18,205.01",17.22,"13,064.08",12.36,"31,269.09",29.59,"18,130.62",912.5,18.02,P 1
2024,Jawa Timur,Kab. Trenggalek,"110,391.91","15,389.05",13.94,"36,865.00",33.39,"52,254.05",47.34,"12,351.12",,11.19,P 1
2024,Jawa Timur,Kab. Tulungagung,"164,395.27","19,229.64",11.7,"27,763.09",16.89,"46,992.72",28.59,"18,969.96","7,209.48",15.92,P 1
